Stock,Initial Capital,Final Value,Total Return,Annual Return,Sharpe Ratio,Max Drawdown,Volatility,Win Rate
RELIANCE,"100,000","111,070.32",11.07%,3.57%,0.31,-38.60%,15.59%,51.21%
TCS,"100,000","124,145.48",24.15%,7.49%,0.57,-14.35%,14.77%,49.23%
HDFCBANK,"100,000","110,529.83",10.53%,3.40%,0.29,-19.06%,16.19%,52.99%
INFY,"100,000","142,650.70",42.65%,12.59%,0.76,-19.36%,18.02%,51.49%
ICICIBANK,"100,000","126,823.45",26.82%,8.26%,0.6,-14.43%,15.46%,53.24%
HINDUNILVR,"100,000","104,580.13",4.58%,1.51%,0.18,-20.48%,13.08%,49.57%
ITC,"100,000","135,870.36",35.87%,10.78%,0.77,-16.96%,15.16%,51.42%
SBIN,"100,000","112,304.35",12.30%,3.95%,0.3,-21.93%,19.54%,51.62%
BHARTIARTL,"100,000","270,817.77",170.82%,39.47%,1.94,-12.63%,18.40%,54.50%
ASIANPAINT,"100,000","107,717.67",7.72%,2.51%,0.26,-19.71%,13.07%,54.35%
COMBINED,"1,000,000","1,346,510.07",34.65%,10.45%,1.24,-13.36%,8.44%,52.59%
